,Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status,Loan_Amount_Term_Bin
0,0,0,0,0,0,0,5849,0.0,152.0,1.0,0,0,1
1,1,0,1,1,0,0,4583,1508.0,128.0,1.0,1,1,1
2,2,0,1,0,0,1,3000,0.0,66.0,1.0,0,0,1
3,3,0,1,0,1,0,2583,2358.0,120.0,1.0,0,0,1
4,4,0,0,0,0,0,6000,0.0,141.0,1.0,0,0,1
5,5,0,1,2,0,1,5417,4196.0,267.0,1.0,0,0,1
6,6,0,1,0,1,0,2333,1516.0,95.0,1.0,0,0,1
7,7,0,1,3,0,0,3036,2504.0,158.0,0.0,2,1,1
8,8,0,1,2,0,0,4006,1526.0,168.0,1.0,0,0,1
9,9,0,1,1,0,0,12841,10968.0,349.0,1.0,2,1,1
10,10,0,1,2,0,0,3200,700.0,70.0,1.0,0,0,1
11,11,0,1,2,0,0,2500,1840.0,109.0,1.0,0,0,1
12,12,0,1,2,0,0,3073,8106.0,200.0,1.0,0,0,1
13,13,0,0,0,0,0,1853,2840.0,114.0,1.0,1,1,1
14,14,0,1,2,0,0,1299,1086.0,17.0,1.0,0,0,0
15,15,0,0,0,0,0,4950,0.0,125.0,1.0,0,0,1
16,16,0,0,1,1,0,3596,0.0,100.0,1.0,0,0,0
17,17,1,0,0,0,0,3510,0.0,76.0,0.0,0,1,1
18,18,0,1,0,1,0,4887,0.0,133.0,1.0,1,1,1
19,19,0,1,0,0,0,2600,3500.0,115.0,1.0,0,0,0
20,20,0,1,0,1,0,7660,0.0,104.0,0.0,0,1,1
21,21,0,1,1,0,0,5955,5625.0,315.0,1.0,0,0,1
22,22,0,1,0,1,0,2600,1911.0,116.0,0.0,2,1,1
23,23,0,1,2,1,0,3365,1917.0,112.0,0.0,1,1,1
24,24,0,1,1,0,0,3717,2925.0,151.0,1.0,2,1,1
25,25,0,1,0,0,1,9560,0.0,191.0,1.0,2,0,1
26,26,0,1,0,0,0,2799,2253.0,122.0,1.0,2,0,1
27,27,0,1,2,1,0,4226,1040.0,110.0,1.0,0,0,1
28,28,0,0,0,1,0,1442,0.0,35.0,1.0,0,1,1
29,29,1,0,2,0,0,3750,2083.0,120.0,1.0,2,0,1
30,30,0,1,1,0,0,4166,3369.0,201.0,1.0,0,1,1
31,31,0,0,0,0,0,3167,0.0,74.0,1.0,0,1,1
32,32,0,0,1,0,1,4692,0.0,106.0,1.0,1,1,1
33,33,0,1,0,0,0,3500,1667.0,114.0,1.0,2,0,1
34,34,0,0,3,0,0,12500,3000.0,320.0,1.0,1,1,1
35,35,0,1,0,0,0,2275,2067.0,152.0,1.0,0,0,1
36,36,0,1,0,0,0,1828,1330.0,100.0,0.0,0,1,0
37,37,1,1,0,0,0,3667,1459.0,144.0,1.0,2,0,1
38,38,0,0,0,0,0,4166,7210.0,184.0,1.0,0,0,1
39,39,0,0,0,1,0,3748,1668.0,110.0,1.0,2,0,1
40,40,0,0,0,0,0,3600,0.0,80.0,1.0,0,1,1
41,41,0,0,0,0,0,1800,1213.0,47.0,1.0,0,0,1
42,42,0,1,0,0,0,2400,0.0,75.0,1.0,0,0,1
43,43,0,1,0,0,0,3941,2336.0,134.0,1.0,2,0,1
44,44,0,1,0,1,1,4695,0.0,96.0,1.0,0,0,0
45,45,1,0,0,0,0,3410,0.0,88.0,1.0,0,0,0
46,46,0,1,1,0,0,5649,0.0,44.0,1.0,0,0,1
47,47,0,1,0,0,0,5821,0.0,144.0,1.0,0,0,1
48,48,1,1,0,0,0,2645,3440.0,120.0,0.0,0,1,1
49,49,1,0,0,0,0,4000,2275.0,144.0,1.0,2,0,1
50,50,1,1,0,1,0,1928,1644.0,100.0,1.0,2,0,1
51,51,1,0,0,0,0,3086,0.0,120.0,1.0,2,0,1
52,52,1,0,0,0,0,4230,0.0,112.0,1.0,2,1,1
53,53,0,1,2,0,0,4616,0.0,134.0,1.0,0,1,1
54,54,1,1,1,0,1,11500,0.0,286.0,0.0,0,1,1
55,55,0,1,2,0,0,2708,1167.0,97.0,1.0,2,0,1
56,56,0,1,0,0,0,2132,1591.0,96.0,1.0,2,0,1
57,57,0,1,0,0,0,3366,2200.0,135.0,1.0,1,1,1
58,58,0,1,1,0,0,8080,2250.0,180.0,1.0,0,0,1
59,59,0,1,2,1,0,3357,2859.0,144.0,1.0,0,0,1
60,60,0,1,0,0,0,2500,3796.0,120.0,1.0,0,0,1
61,61,0,1,3,0,0,3029,0.0,99.0,1.0,0,0,1
62,62,0,1,0,1,1,2609,3449.0,165.0,0.0,1,1,0
63,63,0,1,1,0,0,4945,0.0,152.0,0.0,1,1,1
64,64,1,0,0,0,0,4166,0.0,116.0,0.0,2,1,1
65,65,0,1,0,0,0,5726,4595.0,258.0,1.0,2,1,1
66,66,0,0,0,1,0,3200,2254.0,126.0,0.0,0,1,0
67,67,0,1,1,0,0,10750,0.0,312.0,1.0,0,0,1
68,68,0,1,3,1,1,7100,0.0,125.0,1.0,0,0,0
69,69,1,0,0,0,0,4300,0.0,136.0,0.0,2,1,1
70,70,0,1,0,0,0,3208,3066.0,172.0,1.0,0,0,1
71,71,0,1,2,1,1,1875,1875.0,97.0,1.0,2,0,1
72,72,0,0,0,0,0,3500,0.0,81.0,1.0,2,0,0
73,73,0,1,3,1,0,4755,0.0,95.0,0.0,2,1,0
74,74,0,1,3,0,1,5266,1774.0,187.0,1.0,2,0,1
75,75,0,0,0,0,0,3750,0.0,113.0,1.0,0,1,1
76,76,0,0,0,0,0,3750,4750.0,176.0,1.0,0,1,1
77,77,0,1,1,0,1,1000,3022.0,110.0,1.0,0,1,1
78,78,0,1,3,0,0,3167,4000.0,180.0,0.0,2,1,0
79,79,0,1,3,1,1,3333,2166.0,130.0,1.0,2,0,1
80,80,1,0,0,0,0,3846,0.0,111.0,1.0,2,0,1
81,81,0,1,1,0,1,2395,0.0,152.0,1.0,2,0,1
82,82,1,1,2,0,0,1378,1881.0,167.0,1.0,0,1,1
83,83,0,1,0,0,0,6000,2250.0,265.0,1.0,2,1,1
84,84,0,1,1,0,0,3988,0.0,50.0,1.0,0,0,0
85,85,0,0,0,0,0,2366,2531.0,136.0,1.0,2,0,1
86,86,0,1,2,1,0,3333,2000.0,99.0,1.0,2,0,1
87,87,0,1,0,0,0,2500,2118.0,104.0,1.0,2,0,1
88,88,0,0,0,0,0,8566,0.0,210.0,1.0,0,0,1
89,89,0,1,0,0,0,5695,4167.0,175.0,1.0,2,0,1
90,90,0,1,0,0,0,2958,2900.0,131.0,1.0,2,0,1
91,91,0,1,2,0,0,6250,5654.0,188.0,1.0,2,0,0
92,92,0,1,2,1,0,3273,1820.0,81.0,1.0,0,0,1
93,93,0,0,0,0,0,4133,0.0,122.0,1.0,2,0,1
94,94,0,0,0,1,0,3620,0.0,25.0,1.0,2,0,0
95,95,0,0,0,0,0,6782,0.0,152.0,1.0,0,1,1
96,96,1,1,0,0,0,2484,2302.0,137.0,1.0,2,0,1
97,97,0,1,0,0,0,1977,997.0,50.0,1.0,2,0,1
98,98,0,1,0,1,0,4188,0.0,115.0,1.0,2,0,0
99,99,0,1,0,0,0,1759,3541.0,131.0,1.0,2,0,1
100,100,0,1,2,1,0,4288,3263.0,133.0,1.0,0,0,0
101,101,0,0,0,0,0,4843,3806.0,151.0,1.0,2,0,1
